country,client,year,month,day,user_install_id,revenue
BR,fruit_battle,2021,12,23,6ddf67b9-91e8-4379-9ef9-614f6cf6e712,-0.00503
RU,fruit_battle,2021,12,23,cd74651f-8c3c-449f-835a-13ba053e0ae4,-0.00013
BR,fruit_battle,2021,12,23,b3d99a55-5a19-40dc-a17f-a0a1f79fe35a,-0.00049
RU,fruit_battle,2021,12,23,b5f26a0c-d073-4b4e-a3b8-ef37ca4584b3,-0.00207
BR,fruit_battle,2021,12,23,a966c57c-895d-4a36-86c8-70a2af131a7a,-0.001
RU,fruit_battle,2021,12,23,9db03a40-2c30-4204-a1c5-6793dafc1942,-0.00028
RU,fruit_battle,2021,12,23,b7eb5a4b-65d6-4f7b-8207-49470565f37f,-0.00328
RU,fruit_battle,2021,12,23,9d2e2c48-60e4-4247-8bcd-362ef8038ad8,-0.00167
BR,fruit_battle,2021,12,23,edcc49ae-254b-438e-bca0-e0f1c28a1c67,-0.00542
RU,fruit_battle,2021,12,23,2506b718-2264-4935-b016-c59f596b9b5c,-0.00065
US,fruit_battle,2021,12,23,e5ddd4ea-7096-4540-9dff-2525c3bad2a4,-0.00045
RU,fruit_battle,2021,12,23,0ee1d240-00ae-4626-945b-ec750417309f,-0.00051
BR,fruit_battle,2021,12,23,e37163dd-e611-44af-a139-be6e46151d49,-0.00046
BR,fruit_battle,2021,12,23,51493c21-7c61-447d-a886-7c7f05afabcd,-0.00781
RU,fruit_battle,2021,12,23,bea8425a-5e06-421d-a71d-30fe9a9610cc,-0.00042
BR,fruit_battle,2021,12,23,d8a11618-5303-44b9-a834-98953470d4da,-0.0002
RU,fruit_battle,2021,12,23,dd26e9da-5356-412d-8d21-1339a41530b4,-0.0044
BR,fruit_battle,2021,12,23,b0f59297-6f61-4198-aced-1e2595bd1b7e,0.00014
RU,fruit_battle,2021,12,23,855917bd-b445-4d69-b50b-cf7b4be7e9fa,0.00038
RU,fruit_battle,2021,12,23,7222091b-be1b-4d5e-a337-384f36eefb05,0.00399
US,fruit_battle,2021,12,23,f1f06fb7-e47b-4c3b-b450-d17a8b1b644e,0.0025
US,fruit_battle,2021,12,23,ea7ad80c-f227-435f-b99e-f0c0c9ae9720,0.00313
RU,fruit_battle,2021,12,23,7222091b-be1b-4d5e-a337-384f36eefb05,0.00042
RU,fruit_battle,2021,12,23,1b70077a-a557-4ae0-a010-09655b1554c1,-0.0005
BR,fruit_battle,2021,12,23,b055f1b2-ef61-4bee-ba40-32af840dd923,0.00025
US,fruit_battle,2021,12,23,5a9ea996-7a44-4b5d-be3b-1d0f3c6934ef,0.01983
BR,fruit_battle,2021,12,23,b055f1b2-ef61-4bee-ba40-32af840dd923,0.00503
US,fruit_battle,2021,12,23,b170b525-c5dd-4724-9724-58deebe9ff1e,0.05994
US,fruit_battle,2021,12,23,a3de3a19-5190-4cdb-91b0-2ab25428fa30,0.00116
US,fruit_battle,2021,12,23,5a9ea996-7a44-4b5d-be3b-1d0f3c6934ef,0.00143
BR,fruit_battle,2021,12,23,e6d3ac5c-e55b-448d-899b-a25d5cb9597a,0.00341
US,fruit_battle,2021,12,23,99ea6e08-6ff4-44bf-819e-05042e39ff96,0.00313
US,fruit_battle,2021,12,23,e73d2d37-8f38-4ca1-b413-f1377d83b9f3,0.00143
US,fruit_battle,2021,12,23,99ea6e08-6ff4-44bf-819e-05042e39ff96,0.00025
US,fruit_battle,2021,12,23,99ea6e08-6ff4-44bf-819e-05042e39ff96,0.00143
US,fruit_battle,2021,12,23,99ea6e08-6ff4-44bf-819e-05042e39ff96,0.00023
US,fruit_battle,2021,12,23,56534b48-9a27-427b-8ed7-28585ee494ac,0.00051
US,fruit_battle,2021,12,23,e73d2d37-8f38-4ca1-b413-f1377d83b9f3,0.00143
US,fruit_battle,2021,12,23,af88c1a5-84e5-4b56-a729-0dace57ee9c1,0.00116
DE,fruit_battle,2021,12,23,f6b33646-72f5-4270-9a85-77ec4c4116ee,0.00084
