country,country_id,user_install_id,client,year,month,day
RU,23,1ec78a0d-c9c1-4f22-acd5-494d9a06209d,fruit_battle,2021,12,2
RU,23,e58579ff-5c01-469b-b701-0d96ca5eaca2,fruit_battle,2021,12,2
RU,23,a2892289-4c37-438a-aff5-aabbee1bad9e,fruit_battle,2021,12,2
RU,23,5bc73929-db0f-43e1-8dc4-6d749eb87e75,fruit_battle,2021,12,2
US,29,fa153a44-c8af-4d71-a932-07e64eea72b7,fruit_battle,2021,12,2
RU,23,11c8277b-99be-46e5-acf1-4923676352d8,fruit_battle,2021,12,2
GB,10,b2e8c628-bb03-45e2-a4df-04abf4c2683b,fruit_battle,2021,12,2
BR,4,29314523-5fd4-48c0-948b-ab62c21b4e35,fruit_battle,2021,12,2
BR,4,fa78a385-43d5-47f0-8e29-a0c9ef27ebae,fruit_battle,2021,12,2
RU,23,5d92fcd2-ac2f-47fd-8c29-b8a991e5ed80,fruit_battle,2021,12,2
RU,23,dd8e9953-5d22-4492-b8ab-bf326279d99b,fruit_battle,2021,12,2
RU,23,d437fd09-ac1d-4403-9e54-27ab2bc5e8a0,fruit_battle,2021,12,2
BR,4,d5f10d2e-b7d9-4776-8f25-2755a537d582,fruit_battle,2021,12,2
DE,7,5a42a16e-9d95-4ae8-8843-9f6d2e502525,fruit_battle,2021,12,2
RU,23,bdd9a43c-f94a-4060-b920-dd74d95a54ca,fruit_battle,2021,12,2
BR,4,dd5e2d3c-cb72-4724-ab1c-f91d4ea13161,fruit_battle,2021,12,2
DE,7,79f5566a-900d-4872-ab6e-3876df5cff5f,fruit_battle,2021,12,2
BR,4,6702d149-a429-4f80-91a3-2da351d5df33,fruit_battle,2021,12,2
BR,4,b0792c84-46d3-4725-962a-6c86e036a183,fruit_battle,2021,12,2
RU,23,463aa322-de63-496a-a8e5-f5d55007b9ab,fruit_battle,2021,12,2
DE,7,aeb15b71-b5a8-4522-9e1f-e91b521de267,fruit_battle,2021,12,2
RU,23,c0e4926b-d372-41ae-8f1c-ccb8ea03a005,fruit_battle,2021,12,2
US,29,4d81a2e7-2706-4bb2-8e65-032ce2b749b5,fruit_battle,2021,12,2
BR,4,4f606d41-6281-4900-a369-74058bb6aaa7,fruit_battle,2021,12,2
RU,23,fec673ad-fd29-4a0c-9b70-bf97987d50bf,fruit_battle,2021,12,2
BR,4,60499c7a-2ca9-4dd6-92c9-7c3d13835535,fruit_battle,2021,12,2
RU,23,48fd4163-f4b3-431b-81e6-0087034ebcb1,fruit_battle,2021,12,2
BR,4,3697f504-e9a5-4589-bcf7-4292ac821fec,fruit_battle,2021,12,2
BR,4,7a60cc2d-78c2-4b60-a158-e92c86fd495a,fruit_battle,2021,12,2
DE,7,1c181b31-8f0a-4bfc-935e-87c0d4053d65,fruit_battle,2021,12,2
RU,23,5b05d0b6-cbc1-44e1-bb82-98609e934ea9,fruit_battle,2021,12,2
RU,23,4d8b4194-6285-431c-bd54-5a69aca8f77d,fruit_battle,2021,12,2
RU,23,8ee8e396-8804-4145-a38c-d3052d178f70,fruit_battle,2021,12,2
